BIDS	gcor
c01	 0.0153232
c02	 0.0177545
c03	 0.0124264
c07	 0.010411
c09	 0.0225595
c11	 0.0201505
c13	 0.0277529
c15	 0.0317365
c17	 0.0113828
c19	 0.0127414
c21	 0.0168952
c23	 0.00710364
c25	 0.0267088
c27	 0.0196797
c29	 0.0101603
c31	 0.0197942
c33	 0.0502588
c35	 0.00703144
c37	 0.022431
c39	 0.0167286
c41	 0.00775683
c43	 0.0177014
c45	 0.02644
c47	 0.0102725
c49	 0.0115727
e04	 0.00978195
e05	 0.0215653
e06	 0.0116808
e08	 0.0175935
e10	 0.0127081
e12	 0.0145034
e14	 0.0239
e16	 0.0174523
e18	 0.0172539
e20	 0.0254299
e22	 0.0337255
e24	 0.0101104
e26	 0.0177428
e28	 0.0160564
e30	 0.0275632
e32	 0.0282022
e34	 0.0144917
e36	 0.0174712
e38	 0.0130842
e40	 0.0126951
e42	 0.00930723
e44	 0.0127113
e46	 0.0213692
e48	 0.0107511
e50	 0.0139891
