BIDS	gcor
c01	 0.0452523
c02	 0.0397433
c03	 0.0244452
c07	 0.0209583
c09	 0.0573163
c11	 0.0422599
c13	 0.092217
c15	 0.0754808
c17	 0.031754
c19	 0.0412669
c21	 0.0473006
c23	 0.0241958
c25	 0.0628826
c27	 0.0497106
c29	 0.0292602
c31	 0.0599165
c33	 0.101967
c35	 0.0152794
c37	 0.0667451
c39	 0.0367823
c41	 0.0260951
c43	 0.0386192
c45	 0.0712477
c47	 0.0203917
c49	 0.0413802
e04	 0.026425
e05	 0.0435347
e06	 0.0274226
e08	 0.047884
e10	 0.024533
e12	 0.0415395
e14	 0.0364637
e16	 0.070914
e18	 0.0537437
e20	 0.0426672
e22	 0.0784378
e24	 0.0229311
e26	 0.0472537
e28	 0.0442962
e30	 0.0528106
e32	 0.0888829
e34	 0.0549164
e36	 0.0512054
e38	 0.0275866
e40	 0.0323109
e42	 0.0269882
e44	 0.0238129
e46	 0.0482498
e48	 0.0344462
e50	 0.0481448
