BIDS	gcor
c01	 0.121945
c02	 0.0744896
c03	 0.0356961
c07	 0.0276939
c09	 0.109072
c11	 0.0541849
c13	 0.0739691
c15	 0.119073
c17	 0.0354418
c19	 0.0650592
c21	 0.0854232
c23	 0.0462491
c25	 0.113153
c27	 0.0595911
c29	 0.0727293
c31	 0.15024
c33	 0.143482
c35	 0.0656847
c37	 0.106089
c39	 0.0826968
c41	 0.062413
c43	 0.0642287
c45	 0.120778
c47	 0.0389251
c49	 0.0418037
e04	 0.0528114
e05	 0.0497834
e06	 0.0897015
e08	 0.0770138
e10	 0.0653996
e12	 0.0453195
e14	 0.0623275
e16	 0.067855
e18	 0.0719936
e20	 0.081834
e22	 0.116659
e24	 0.0602824
e26	 0.0409309
e28	 0.0859025
e30	 0.143548
e32	 0.151237
e34	 0.0550011
e36	 0.0502936
e38	 0.0692655
e40	 0.0394313
e42	 0.0511076
e44	 0.0569492
e46	 0.100695
e48	 0.0545406
e50	 0.0435814
