BIDS	gcor
c01	 0.0580432
c02	 0.064052
c03	 0.0497155
c07	 0.0948781
c09	 0.125947
c11	 0.0566805
c13	 0.0605558
c15	 0.0871181
c17	 0.0335545
c19	 0.039712
c21	 0.0581147
c23	 0.0411266
c25	 0.0723926
c27	 0.0663574
c29	 0.0413797
c31	 0.0775135
c33	 0.0852605
c35	 0.0326016
c37	 0.0690828
c39	 0.0538331
c41	 0.0307043
c43	 0.0763543
c45	 0.0898312
c47	 0.0587383
c49	 0.0500999
e04	 0.0773484
e05	 0.0727698
e06	 0.0425649
e08	 0.0767671
e10	 0.0797874
e12	 0.0383422
e14	 0.0725979
e16	 0.0587364
e18	 0.109693
e20	 0.0708913
e22	 0.11271
e24	 0.044198
e26	 0.0282541
e28	 0.0882375
e30	 0.108492
e32	 0.149871
e34	 0.0549946
e36	 0.0538506
e38	 0.0834682
e40	 0.0637821
e42	 0.0450969
e44	 0.0299744
e46	 0.0722862
e48	 0.0423393
e50	 0.0458936
