BIDS	gcor
c01	 0.0173619
c02	 0.0170172
c03	 0.0100646
c07	 0.00847337
c09	 0.0239851
c11	 0.0167196
c13	 0.0376754
c15	 0.0282058
c17	 0.011821
c19	 0.014892
c21	 0.0205623
c23	 0.00851005
c25	 0.0242135
c27	 0.0203361
c29	 0.0113269
c31	 0.0232743
c33	 0.0433183
c35	 0.00548946
c37	 0.0259346
c39	 0.0130201
c41	 0.0090869
c43	 0.0171833
c45	 0.0292837
c47	 0.00756975
c49	 0.0145524
e04	 0.0100942
e05	 0.0179855
e06	 0.0102229
e08	 0.0168007
e10	 0.0101451
e12	 0.0147857
e14	 0.0172304
e16	 0.0259481
e18	 0.0204609
e20	 0.01652
e22	 0.0341389
e24	 0.00817941
e26	 0.0179569
e28	 0.0167908
e30	 0.0210313
e32	 0.0353505
e34	 0.0210338
e36	 0.0209069
e38	 0.00994219
e40	 0.0127024
e42	 0.00983684
e44	 0.00866788
e46	 0.018882
e48	 0.0128396
e50	 0.0187427
