BIDS	gcor
c01	 0.0134123
c02	 0.0178558
c03	 0.0122853
c07	 0.0245042
c09	 0.0338329
c11	 0.01342
c13	 0.0144701
c15	 0.0182601
c17	 0.0071829
c19	 0.0078655
c21	 0.0150843
c23	 0.00789234
c25	 0.0171029
c27	 0.0162399
c29	 0.00951258
c31	 0.0173059
c33	 0.0217076
c35	 0.00696513
c37	 0.0168455
c39	 0.0101552
c41	 0.00618253
c43	 0.0223898
c45	 0.0218793
c47	 0.013067
c49	 0.00985747
e04	 0.0194625
e05	 0.0196265
e06	 0.00909209
e08	 0.0147719
e10	 0.0196149
e12	 0.00810041
e14	 0.0225763
e16	 0.0120646
e18	 0.0257857
e20	 0.016645
e22	 0.0340179
e24	 0.00956174
e26	 0.00618953
e28	 0.0210173
e30	 0.0267653
e32	 0.038317
e34	 0.0132613
e36	 0.012862
e38	 0.0178579
e40	 0.0153673
e42	 0.00936766
e44	 0.00665775
e46	 0.0173108
e48	 0.00900715
e50	 0.0101218
