BIDS	gcor
c01	 0.0134123
c02	 0.0133807
c03	 0.00784266
c07	 0.0166621
c09	 0.0284268
c11	 0.0106954
c13	 0.0131363
c15	 0.0151724
c17	 0.00596
c19	 0.00645578
c21	 0.00951947
c23	 0.00789234
c25	 0.0120584
c27	 0.0118466
c29	 0.00812685
c31	 0.0127547
c33	 0.0179529
c35	 0.00616626
c37	 0.0139874
c39	 0.0079001
c41	 0.00583329
c43	 0.0165385
c45	 0.0158989
c47	 0.0103549
c49	 0.00908042
e04	 0.0163433
e05	 0.0153044
e06	 0.00743663
e08	 0.0130609
e10	 0.0153917
e12	 0.00747649
e14	 0.0127585
e16	 0.00875524
e18	 0.0183501
e20	 0.0123907
e22	 0.0263949
e24	 0.00845054
e26	 0.00525702
e28	 0.0184496
e30	 0.0186021
e32	 0.0276866
e34	 0.011763
e36	 0.0112553
e38	 0.015856
e40	 0.0136574
e42	 0.00740976
e44	 0.00561028
e46	 0.0128732
e48	 0.00746427
e50	 0.00745176
