BIDS	gcor
c01	 0.0737743
c02	 0.0495926
c03	 0.0225967
c07	 0.017229
c09	 0.0712217
c11	 0.0326294
c13	 0.0464948
c15	 0.0746756
c17	 0.0219866
c19	 0.0393379
c21	 0.05648
c23	 0.0267206
c25	 0.0723338
c27	 0.0383228
c29	 0.0456526
c31	 0.0974085
c33	 0.09191
c35	 0.0386353
c37	 0.0687219
c39	 0.0497574
c41	 0.0371201
c43	 0.0426075
c45	 0.0795952
c47	 0.0229174
c49	 0.0238869
e04	 0.0330284
e05	 0.0318452
e06	 0.0555653
e08	 0.0445962
e10	 0.0416871
e12	 0.0265625
e14	 0.0420552
e16	 0.0416983
e18	 0.0468959
e20	 0.051505
e22	 0.0789368
e24	 0.0363776
e26	 0.0246054
e28	 0.0533093
e30	 0.0936543
e32	 0.100905
e34	 0.0346226
e36	 0.0323318
e38	 0.041249
e40	 0.0238491
e42	 0.0308474
e44	 0.0349404
e46	 0.0642021
e48	 0.0335345
e50	 0.0264186
