BIDS	gcor
c01	 0.0675645
c02	 0.0645357
c03	 0.0467249
c07	 0.043087
c09	 0.0841779
c11	 0.0831044
c13	 0.110208
c15	 0.130788
c17	 0.0505013
c19	 0.058581
c21	 0.0611302
c23	 0.0351457
c25	 0.110286
c27	 0.0716106
c29	 0.0430983
c31	 0.0841931
c33	 0.17964
c35	 0.0336024
c37	 0.0918778
c39	 0.0788043
c41	 0.0387224
c43	 0.0612137
c45	 0.10022
c47	 0.0461
c49	 0.0582611
e04	 0.0418632
e05	 0.0803204
e06	 0.0521221
e08	 0.0839768
e10	 0.0493155
e12	 0.0685933
e14	 0.0760757
e16	 0.0781216
e18	 0.0717272
e20	 0.105529
e22	 0.11738
e24	 0.0473033
e26	 0.076225
e28	 0.0690318
e30	 0.107634
e32	 0.115092
e34	 0.0612871
e36	 0.0681498
e38	 0.059676
e40	 0.0524656
e42	 0.0434142
e44	 0.0559694
e46	 0.0858659
e48	 0.0482829
e50	 0.0603848
