BIDS	gcor
c01	 0.0153232
c02	 0.0132629
c03	 0.00840605
c07	 0.00701787
c09	 0.0195889
c11	 0.0161582
c13	 0.0253476
c15	 0.0277811
c17	 0.00955555
c19	 0.0105584
c21	 0.01108
c23	 0.00706141
c25	 0.0187828
c27	 0.0143821
c29	 0.00880386
c31	 0.0143948
c33	 0.040541
c35	 0.0060583
c37	 0.0181345
c39	 0.0138178
c41	 0.00737056
c43	 0.0131323
c45	 0.0201693
c47	 0.0081842
c49	 0.0107813
e04	 0.00856952
e05	 0.017373
e06	 0.00979056
e08	 0.0152312
e10	 0.00933118
e12	 0.0131866
e14	 0.0136209
e16	 0.0126953
e18	 0.012637
e20	 0.0194531
e22	 0.024542
e24	 0.0089827
e26	 0.0150286
e28	 0.014381
e30	 0.0203734
e32	 0.0201708
e34	 0.0127804
e36	 0.0155016
e38	 0.0115594
e40	 0.0109979
e42	 0.00755731
e44	 0.0105568
e46	 0.0164692
e48	 0.00868111
e50	 0.0106024
