BIDS	gcor
c01	 0.0173619
c02	 0.0127504
c03	 0.00673662
c07	 0.00577445
c09	 0.020813
c11	 0.0134865
c13	 0.0345437
c15	 0.0246668
c17	 0.0099326
c19	 0.0123382
c21	 0.0134148
c23	 0.00845888
c25	 0.017013
c27	 0.0148219
c29	 0.0098056
c31	 0.0170783
c33	 0.0350238
c35	 0.00474144
c37	 0.0210175
c39	 0.0107818
c41	 0.00864023
c43	 0.0127399
c45	 0.0224045
c47	 0.00603628
c49	 0.0135514
e04	 0.00880593
e05	 0.0144969
e06	 0.00855161
e08	 0.0145549
e10	 0.00754304
e12	 0.0134474
e14	 0.00997488
e16	 0.0190175
e18	 0.0149428
e20	 0.0126891
e22	 0.0248931
e24	 0.00725781
e26	 0.0152005
e28	 0.0150461
e30	 0.0155748
e32	 0.0253893
e34	 0.0185836
e36	 0.0185888
e38	 0.00876966
e40	 0.0110152
e42	 0.00801906
e44	 0.00719661
e46	 0.0145508
e48	 0.0103774
e50	 0.0143161
