BIDS	gcor
c01	 0.0287881
c02	 0.0164344
c03	 0.00613854
c07	 0.00468441
c09	 0.0254679
c11	 0.00959642
c13	 0.0167274
c15	 0.0234596
c17	 0.00700853
c19	 0.0114958
c21	 0.0161771
c23	 0.00966905
c25	 0.0200573
c27	 0.0114377
c29	 0.0155404
c31	 0.0269645
c33	 0.0288939
c35	 0.0115623
c37	 0.0215531
c39	 0.0128983
c41	 0.0123713
c43	 0.0138616
c45	 0.0246016
c47	 0.00650321
c49	 0.00757428
e04	 0.010734
e05	 0.0103047
e06	 0.0173263
e08	 0.0131347
e10	 0.0125401
e12	 0.00870234
e14	 0.0109188
e16	 0.011069
e18	 0.014173
e20	 0.0151531
e22	 0.025769
e24	 0.0112735
e26	 0.00771793
e28	 0.0177735
e30	 0.0274235
e32	 0.0286848
e34	 0.0118646
e36	 0.0118265
e38	 0.0134482
e40	 0.00793187
e42	 0.00887548
e44	 0.0113681
e46	 0.0192121
e48	 0.0103418
e50	 0.00734133
