BIDS	gcor
sub-control001	 0.0751876
sub-control002	 0.0609017
sub-control003	 0.0386063
sub-control007	 0.0331095
sub-control009	 0.0880264
sub-control011	 0.0676825
sub-control013	 0.141601
sub-control015	 0.121076
sub-control017	 0.052119
sub-control019	 0.0675805
sub-control021	 0.0717341
sub-control023	 0.0420281
sub-control025	 0.100258
sub-control027	 0.0762035
sub-control029	 0.047161
sub-control031	 0.0948744
sub-control033	 0.151781
sub-control035	 0.0260755
sub-control037	 0.103545
sub-control039	 0.0614718
sub-control041	 0.0450899
sub-control043	 0.0575968
sub-control045	 0.108894
sub-control047	 0.0337878
sub-control049	 0.0705089
sub-experimental004	 0.0429103
sub-experimental005	 0.0670973
sub-experimental006	 0.0452072
sub-experimental008	 0.0817178
sub-experimental010	 0.0383661
sub-experimental012	 0.0692644
sub-experimental014	 0.053432
sub-experimental016	 0.112675
sub-experimental018	 0.0854717
sub-experimental020	 0.0678884
sub-experimental022	 0.115532
sub-experimental024	 0.0390891
sub-experimental026	 0.0763392
sub-experimental028	 0.0717617
sub-experimental030	 0.081991
sub-experimental032	 0.134144
sub-experimental034	 0.0865335
sub-experimental036	 0.0792798
sub-experimental038	 0.0472708
sub-experimental040	 0.051516
sub-experimental042	 0.0450845
sub-experimental044	 0.0398881
sub-experimental046	 0.0773245
sub-experimental048	 0.0555411
sub-experimental050	 0.0756061
