BIDS	gcor
sub-control001	 0.0287881
sub-control002	 0.021985
sub-control003	 0.00930045
sub-control007	 0.00682836
sub-control009	 0.0294588
sub-control011	 0.0122294
sub-control013	 0.0186253
sub-control015	 0.027181
sub-control017	 0.00855388
sub-control019	 0.0140574
sub-control021	 0.0246816
sub-control023	 0.00966905
sub-control025	 0.028077
sub-control027	 0.0156104
sub-control029	 0.0178489
sub-control031	 0.0381777
sub-control033	 0.036083
sub-control035	 0.013625
sub-control037	 0.0272554
sub-control039	 0.0172709
sub-control041	 0.0130564
sub-control043	 0.0186956
sub-control045	 0.0329725
sub-control047	 0.00824484
sub-control049	 0.00830587
sub-experimental004	 0.0127519
sub-experimental005	 0.0130323
sub-experimental006	 0.0211799
sub-experimental008	 0.0151652
sub-experimental010	 0.0167708
sub-experimental012	 0.00952561
sub-experimental014	 0.0192222
sub-experimental016	 0.0151256
sub-experimental018	 0.0193369
sub-experimental020	 0.019698
sub-experimental022	 0.0349896
sub-experimental024	 0.0129734
sub-experimental026	 0.00911466
sub-experimental028	 0.020335
sub-experimental030	 0.0378548
sub-experimental032	 0.0404927
sub-experimental034	 0.0133474
sub-experimental036	 0.013366
sub-experimental038	 0.0151094
sub-experimental040	 0.0089809
sub-experimental042	 0.0111348
sub-experimental044	 0.013342
sub-experimental046	 0.0257315
sub-experimental048	 0.0125076
sub-experimental050	 0.00974827
