BIDS	gcor
sub-control001	 0.040333
sub-control002	 0.041865
sub-control003	 0.0297805
sub-control007	 0.0266806
sub-control009	 0.0543655
sub-control011	 0.0515209
sub-control013	 0.069921
sub-control015	 0.0830508
sub-control017	 0.0307304
sub-control019	 0.0354978
sub-control021	 0.0396695
sub-control023	 0.0201064
sub-control025	 0.0692507
sub-control027	 0.0470388
sub-control029	 0.0264469
sub-control031	 0.0522967
sub-control033	 0.119985
sub-control035	 0.0196999
sub-control037	 0.0585177
sub-control039	 0.0474553
sub-control041	 0.0224056
sub-control043	 0.0405448
sub-control045	 0.0650684
sub-control047	 0.0277951
sub-control049	 0.0336088
sub-experimental004	 0.0256035
sub-experimental005	 0.0521559
sub-experimental006	 0.0314092
sub-experimental008	 0.0496719
sub-experimental010	 0.0314509
sub-experimental012	 0.0406962
sub-experimental014	 0.0515843
sub-experimental016	 0.0483011
sub-experimental018	 0.0450146
sub-experimental020	 0.0665925
sub-experimental022	 0.0787709
sub-experimental024	 0.0279555
sub-experimental026	 0.0468993
sub-experimental028	 0.0424295
sub-experimental030	 0.0693194
sub-experimental032	 0.0740066
sub-experimental034	 0.038427
sub-experimental036	 0.0434406
sub-experimental038	 0.0354609
sub-experimental040	 0.0326566
sub-experimental042	 0.0258753
sub-experimental044	 0.0341985
sub-experimental046	 0.0541916
sub-experimental048	 0.0294691
sub-experimental050	 0.0373875
