BIDS	gcor
sub-control001	 0.0287881
sub-control002	 0.0164344
sub-control003	 0.00613854
sub-control007	 0.00468441
sub-control009	 0.0254679
sub-control011	 0.00959642
sub-control013	 0.0167274
sub-control015	 0.0234596
sub-control017	 0.00700853
sub-control019	 0.0114958
sub-control021	 0.0161771
sub-control023	 0.00966905
sub-control025	 0.0200573
sub-control027	 0.0114377
sub-control029	 0.0155404
sub-control031	 0.0269645
sub-control033	 0.0288939
sub-control035	 0.0115623
sub-control037	 0.0215531
sub-control039	 0.0128983
sub-control041	 0.0123713
sub-control043	 0.0138616
sub-control045	 0.0246016
sub-control047	 0.00650321
sub-control049	 0.00757428
sub-experimental004	 0.010734
sub-experimental005	 0.0103047
sub-experimental006	 0.0173263
sub-experimental008	 0.0131347
sub-experimental010	 0.0125401
sub-experimental012	 0.00870234
sub-experimental014	 0.0109188
sub-experimental016	 0.011069
sub-experimental018	 0.014173
sub-experimental020	 0.0151531
sub-experimental022	 0.025769
sub-experimental024	 0.0112735
sub-experimental026	 0.00771793
sub-experimental028	 0.0177735
sub-experimental030	 0.0274235
sub-experimental032	 0.0286848
sub-experimental034	 0.0118646
sub-experimental036	 0.0118265
sub-experimental038	 0.0134482
sub-experimental040	 0.00793187
sub-experimental042	 0.00887548
sub-experimental044	 0.0113681
sub-experimental046	 0.0192121
sub-experimental048	 0.0103418
sub-experimental050	 0.00734133
