BIDS	gcor
sub-control001	 0.0675645
sub-control002	 0.0645357
sub-control003	 0.0467249
sub-control007	 0.043087
sub-control009	 0.0841779
sub-control011	 0.0831044
sub-control013	 0.110208
sub-control015	 0.130788
sub-control017	 0.0505013
sub-control019	 0.058581
sub-control021	 0.0611302
sub-control023	 0.0351457
sub-control025	 0.110286
sub-control027	 0.0716106
sub-control029	 0.0430983
sub-control031	 0.0841931
sub-control033	 0.17964
sub-control035	 0.0336024
sub-control037	 0.0918778
sub-control039	 0.0788043
sub-control041	 0.0387224
sub-control043	 0.0612137
sub-control045	 0.10022
sub-control047	 0.0461
sub-control049	 0.0582611
sub-experimental004	 0.0418632
sub-experimental005	 0.0803204
sub-experimental006	 0.0521221
sub-experimental008	 0.0839768
sub-experimental010	 0.0493155
sub-experimental012	 0.0685933
sub-experimental014	 0.0760757
sub-experimental016	 0.0781216
sub-experimental018	 0.0717272
sub-experimental020	 0.105529
sub-experimental022	 0.11738
sub-experimental024	 0.0473033
sub-experimental026	 0.076225
sub-experimental028	 0.0690318
sub-experimental030	 0.107634
sub-experimental032	 0.115092
sub-experimental034	 0.0612871
sub-experimental036	 0.0681498
sub-experimental038	 0.059676
sub-experimental040	 0.0524656
sub-experimental042	 0.0434142
sub-experimental044	 0.0559694
sub-experimental046	 0.0858659
sub-experimental048	 0.0482829
sub-experimental050	 0.0603848
