BIDS	gcor
sub-control001	 0.0173619
sub-control002	 0.0170172
sub-control003	 0.0100646
sub-control007	 0.00847337
sub-control009	 0.0239851
sub-control011	 0.0167196
sub-control013	 0.0376754
sub-control015	 0.0282058
sub-control017	 0.011821
sub-control019	 0.014892
sub-control021	 0.0205623
sub-control023	 0.00851005
sub-control025	 0.0242135
sub-control027	 0.0203361
sub-control029	 0.0113269
sub-control031	 0.0232743
sub-control033	 0.0433183
sub-control035	 0.00548946
sub-control037	 0.0259346
sub-control039	 0.0130201
sub-control041	 0.0090869
sub-control043	 0.0171833
sub-control045	 0.0292837
sub-control047	 0.00756975
sub-control049	 0.0145524
sub-experimental004	 0.0100942
sub-experimental005	 0.0179855
sub-experimental006	 0.0102229
sub-experimental008	 0.0168007
sub-experimental010	 0.0101451
sub-experimental012	 0.0147857
sub-experimental014	 0.0172304
sub-experimental016	 0.0259481
sub-experimental018	 0.0204609
sub-experimental020	 0.01652
sub-experimental022	 0.0341389
sub-experimental024	 0.00817941
sub-experimental026	 0.0179569
sub-experimental028	 0.0167908
sub-experimental030	 0.0210313
sub-experimental032	 0.0353505
sub-experimental034	 0.0210338
sub-experimental036	 0.0209069
sub-experimental038	 0.00994219
sub-experimental040	 0.0127024
sub-experimental042	 0.00983684
sub-experimental044	 0.00866788
sub-experimental046	 0.018882
sub-experimental048	 0.0128396
sub-experimental050	 0.0187427
