BIDS	gcor
sub-control001	 0.0580432
sub-control002	 0.064052
sub-control003	 0.0497155
sub-control007	 0.0948781
sub-control009	 0.125947
sub-control011	 0.0566805
sub-control013	 0.0605558
sub-control015	 0.0871181
sub-control017	 0.0335545
sub-control019	 0.039712
sub-control021	 0.0581147
sub-control023	 0.0411266
sub-control025	 0.0723926
sub-control027	 0.0663574
sub-control029	 0.0413797
sub-control031	 0.0775135
sub-control033	 0.0852605
sub-control035	 0.0326016
sub-control037	 0.0690828
sub-control039	 0.0538331
sub-control041	 0.0307043
sub-control043	 0.0763543
sub-control045	 0.0898312
sub-control047	 0.0587383
sub-control049	 0.0500999
sub-experimental004	 0.0773484
sub-experimental005	 0.0727698
sub-experimental006	 0.0425649
sub-experimental008	 0.0767671
sub-experimental010	 0.0797874
sub-experimental012	 0.0383422
sub-experimental014	 0.0725979
sub-experimental016	 0.0587364
sub-experimental018	 0.109693
sub-experimental020	 0.0708913
sub-experimental022	 0.11271
sub-experimental024	 0.044198
sub-experimental026	 0.0282541
sub-experimental028	 0.0882375
sub-experimental030	 0.108492
sub-experimental032	 0.149871
sub-experimental034	 0.0549946
sub-experimental036	 0.0538506
sub-experimental038	 0.0834682
sub-experimental040	 0.0637821
sub-experimental042	 0.0450969
sub-experimental044	 0.0299744
sub-experimental046	 0.0722862
sub-experimental048	 0.0423393
sub-experimental050	 0.0458936
