BIDS	gcor
sub-control001	 0.0173619
sub-control002	 0.0127504
sub-control003	 0.00673662
sub-control007	 0.00577445
sub-control009	 0.020813
sub-control011	 0.0134865
sub-control013	 0.0345437
sub-control015	 0.0246668
sub-control017	 0.0099326
sub-control019	 0.0123382
sub-control021	 0.0134148
sub-control023	 0.00845888
sub-control025	 0.017013
sub-control027	 0.0148219
sub-control029	 0.0098056
sub-control031	 0.0170783
sub-control033	 0.0350238
sub-control035	 0.00474144
sub-control037	 0.0210175
sub-control039	 0.0107818
sub-control041	 0.00864023
sub-control043	 0.0127399
sub-control045	 0.0224045
sub-control047	 0.00603628
sub-control049	 0.0135514
sub-experimental004	 0.00880593
sub-experimental005	 0.0144969
sub-experimental006	 0.00855161
sub-experimental008	 0.0145549
sub-experimental010	 0.00754304
sub-experimental012	 0.0134474
sub-experimental014	 0.00997488
sub-experimental016	 0.0190175
sub-experimental018	 0.0149428
sub-experimental020	 0.0126891
sub-experimental022	 0.0248931
sub-experimental024	 0.00725781
sub-experimental026	 0.0152005
sub-experimental028	 0.0150461
sub-experimental030	 0.0155748
sub-experimental032	 0.0253893
sub-experimental034	 0.0185836
sub-experimental036	 0.0185888
sub-experimental038	 0.00876966
sub-experimental040	 0.0110152
sub-experimental042	 0.00801906
sub-experimental044	 0.00719661
sub-experimental046	 0.0145508
sub-experimental048	 0.0103774
sub-experimental050	 0.0143161
