BIDS	gcor
sub-control001	 0.121945
sub-control002	 0.0744896
sub-control003	 0.0356961
sub-control007	 0.0276939
sub-control009	 0.109072
sub-control011	 0.0541849
sub-control013	 0.0739691
sub-control015	 0.119073
sub-control017	 0.0354418
sub-control019	 0.0650592
sub-control021	 0.0854232
sub-control023	 0.0462491
sub-control025	 0.113153
sub-control027	 0.0595911
sub-control029	 0.0727293
sub-control031	 0.15024
sub-control033	 0.143482
sub-control035	 0.0656847
sub-control037	 0.106089
sub-control039	 0.0826968
sub-control041	 0.062413
sub-control043	 0.0642287
sub-control045	 0.120778
sub-control047	 0.0389251
sub-control049	 0.0418037
sub-experimental004	 0.0528114
sub-experimental005	 0.0497834
sub-experimental006	 0.0897015
sub-experimental008	 0.0770138
sub-experimental010	 0.0653996
sub-experimental012	 0.0453195
sub-experimental014	 0.0623275
sub-experimental016	 0.067855
sub-experimental018	 0.0719936
sub-experimental020	 0.081834
sub-experimental022	 0.116659
sub-experimental024	 0.0602824
sub-experimental026	 0.0409309
sub-experimental028	 0.0859025
sub-experimental030	 0.143548
sub-experimental032	 0.151237
sub-experimental034	 0.0550011
sub-experimental036	 0.0502936
sub-experimental038	 0.0692655
sub-experimental040	 0.0394313
sub-experimental042	 0.0511076
sub-experimental044	 0.0569492
sub-experimental046	 0.100695
sub-experimental048	 0.0545406
sub-experimental050	 0.0435814
