"ID","BIDS","group","orderNumber","block","acq","startBlock","endBlock","timingCorrection","jitterVideo_trial","jitterRating_trial","stimID","vidFileName","trial","tTrialStart","tTrialEnd","durationTrial","fixationInitialDuration","displayVidOnset","displayVidOffset","displayVidDuration","displayBlankDuration","fixationPostVidOnset","fixationPostVidDuration","displayAnswerOnset","displayAnswerDuration","timeoutAnswer","responseAnswer","timestampAnswer","timestampAnswerWhite","rtAnswer","answer_tooSlow","fixationPostAnswerOnset","fixationPostAnswerDuration","betweenRatingFixation","displayCuriosityOnset","displayCuriosityDuration","timeoutCuriosity","responseCuriosity","timestampCuriosity","timestampCuriosityWhite","rtCuriosity","startValueCuriosity","clicksCuriosity","fixationPostCuriosityOnset","fixationPostCuriosityDuration","curiosity_tooSlow","mockOffset","cueImage","momentOfSurprise_1","momentOfSurprise_2","momentOfSurprise_3","momentOfSurprise_4","momentOfSurprise_5","momentOfSurprise_6","momentOfSurprise_7","additionalMarker_momentOfSurprise_1","additionalMarker_momentOfSurprise_2","trialRecall","responseRecall","cuedRecallStrict","cuedRecallLenient","Flagging","Comments","trialRecognition","responseRecognition","rtRecognition","responseConfidence","rtConfidence","recognition","recognitionConfLevel_4_5_6","rememberedStrictHigh","rememberedLenientHigh"
"1","sub-control001","cont",1,1,1,0,NA,0.00833179001692461,4,4,"S12","08_S12_combined_small.mp4",1,0.000799729998107068,72.0316042929917,72.0308045629936,1.9990334460017,1.9990334460017,50.4502941649989,48.4512607189972,1.5482353510015,51.9985295160004,4.00000582999201,55.9985353459924,5.99720918100502,6,"31 or more",56.8176559239946,56.8652026459895,0.819120578002185,0,61.9957445269974,0.0833981159958057,0.05,62.0791426429932,5.95241346099647,5.95,6,63.1088259679964,63.212567153998,1.02968332500313,6,0,68.0315561039897,4.00004818900197,0,8.03488322599151,10.2778656949959,26.0343235759938,34.0675209249894,46.2346969599894,NA,NA,NA,NA,NA,NA,32,"he punched on the card and made a hole. later it looked like sticking small black round paper which is of punching hole size and moved all around the corners on the card and there was no hole.",1,1,NA,"",16,"The magician punches a hole in the card. He then moves the hole from one corner to another before finally revealing that it is actually a black spot on the card.",213199,6,4137,1,1,1,1
"1","sub-control001","cont",1,1,1,0,NA,0.00833179001692461,4,8,"H15","30_H15_combined_small.mp4",2,72.0529932729987,135.99721942599,63.9442261529912,NA,73.9975478569977,111.931839673998,37.9342918170005,0.0664913099899991,111.998330983988,4.00006997601304,115.998400960001,5.99869929299166,6,"11 to 20",116.649873960996,116.697551074991,0.651473000994883,0,121.997100252993,0.0502628260001075,0.05,122.047363078993,5.94600679900032,5.95,3,123.39164131599,123.480657931999,1.34427823699662,5,2,127.993369877993,8.00384954799665,0,79.9985256049986,81.1509383569937,89.1168042130012,NA,NA,NA,NA,NA,NA,NA,NA,4,"no recall",0,0,NA,"",4,"The magician pierces the deck of cards with a toothpick, but afterwards there is no hole.",277060,2,6659,0,0,0,0
"1","sub-control001","cont",1,1,1,0,NA,0.00833179001692461,4,10,"Trick4","18_Trick4_combined_small.mp4",3,136.011518578991,217.992023268991,81.9805046900001,NA,137.997090953999,191.845300778994,53.8482098249951,0.14590485900402,191.991205637998,4.00137143299798,195.992577070996,6.00405206499272,6,"31 or more",197.236257158002,197.279448488989,1.24368008700549,0,201.996629135989,0.0498757850000402,0.05,202.046504920989,5.94968580199929,5.95,4,203.685041931996,203.779268134997,1.63853701100743,7,3,207.996190722988,9.99583254600293,0,144.032876409998,175.149371979001,178.232341689989,179.232803816994,NA,NA,NA,NA,NA,NA,NA,31,"the balloon was kept on mobile and slowly the air was released from it . Finally it was sticked like a back cover to mobile.",0,0,NA,"",7,"As the balloon deflates, the phones starts moving across the surface without the magician touching it.",253648,4,3888,0,0,0,0
"1","sub-control001","cont",1,1,1,0,NA,0.00833179001692461,4,4,"K10","23_K10_combined_small.mp4",4,218.007633526999,269.995808456995,51.9881749299966,NA,219.993538089999,249.443464812997,29.4499267229985,0.552896552996003,249.996361365993,3.99953257100424,253.995893936997,5.99966747399594,6,"31 or more",254.694888931001,254.745190770001,0.698994994003442,0,259.995561410993,0.0494169220037293,0.05,260.044978332997,5.94779821799602,5.95,3,262.199125617,262.289695004001,2.15414728400356,5,2,265.992776550993,4.00303190600243,0,226.03185172299,227.23199267,229.03195268799,231.102670747001,234.065167288994,236.106855556995,237.065117107995,NA,NA,NA,NA,18,"pin was inserted into another pin without opening it and it was removed by opening one of the pin",1,1,1,"Add incorrect irrelevant information",13,"The safety pins magically interlock without breaking the seal.",234833,6,4327,1,1,1,1
"1","sub-control001","cont",1,1,1,0,NA,0.00833179001692461,4,4,"K18","22_K18_combined_small.mp4",5,270.010678580991,321.994857754995,51.9841791740037,NA,271.995691584001,300.246516893996,28.250825309995,1.749313848996,301.995830742992,3.99976265100122,305.995593393993,5.99694786500186,6,"21 to 30",307.251470552001,307.294434978001,1.25587715800793,0,311.992541258995,0.0496739770023851,0.05,312.042215235997,5.95253175699327,5.95,3,313.611867866988,313.692847005994,1.56965263099119,3,0,317.99474699299,4.00011076200462,0,278.030833527999,284.225526188995,289.144841642992,NA,NA,NA,NA,NA,NA,NA,NA,20,"converted to single pack of cards by folding it ",1,1,NA,"",9,"The magician folds the sheet of paper smaller and smaller until it transforms into a pack of cards.",231426,5,4754,0,0,1,1
"1","sub-control001","cont",1,1,1,0,NA,0.00833179001692461,4,4,"Trick32_long","35_Trick32_long_combined_small.mp4",6,322.011803554997,397.993744343999,75.9819407890027,NA,323.994686773993,376.956181684989,52.9614949109964,1.03830649801296,377.994488183002,3.99895977698907,381.993447959991,6.00028829400253,6,"11 to 20",382.601847257989,382.642961994992,0.608399297998403,0,387.993736253993,0.0493395170051372,0.05,388.043075770998,5.95065096700273,5.95,3,391.679636211993,391.760140886996,3.6365604409948,5,2,393.993726738001,4.00001760599844,0,330.025397100995,334.260611509992,339.230733605989,342.180553945,348.263564324996,355.226282199001,357.143720384993,366.146747138002,371.146255628002,NA,NA,2,"the 4 coins were placed on the table and each was gone one at a time and later again by tricks he placed all of them  on table",0,0,NA,"",31,"The magician shows a silver and a copper coin. Every time he puts a coin in his pocket, the coin appears again in his hand.",263487,4,4080,0,0,0,0
"1","sub-control001","cont",1,1,1,0,NA,0.00833179001692461,4,4,"H16","03_H16_combined_small.mp4",7,398.011543521992,459.993666296999,61.9821227750072,NA,399.990275481992,439.637346520001,39.647071038009,0.348011986992958,439.985358506994,4.00275084300665,443.988109350001,6.00416086000041,6,"11 to 20",444.636244816997,444.67652310399,0.648135466995882,0,449.992270210001,0.0494930369895883,0.05,450.041763246991,5.95111096200708,5.95,6,451.512334518993,451.592470181989,1.47057127200242,4,2,455.992874208998,4.00079208800162,0,406.029120031002,407.228800805999,419.221870091002,425.227659926997,429.229508987992,NA,NA,NA,NA,NA,NA,26,"He pressed the coke bottle from all sides and closed the tip and by tricks he was able to get the real coke out of it and poured into glass next to it",1,1,1,"",19,"The magician pours coke into a glass from an empty can.",250353,6,5177,1,1,1,1
"1","sub-control001","cont",1,1,1,0,NA,0.00833179001692461,6,4,"H35","01_H35_combined_small.mp4",8,460.005911126995,527.991793567999,67.9858824410039,NA,461.99321440699,505.675887076999,43.6826726700092,0.316993752988992,505.992880829988,5.99512798500655,511.988008814995,6.00322680700629,6,"0 to 10",512.762458643992,512.804195510995,0.774449828997604,0,517.991235622001,0.0503343129967107,0.05,518.041569934998,5.95109765099187,5.95,6,519.988294682989,520.058367655991,1.94672474799154,3,3,523.99266758599,3.99912598200899,0,468.023904546993,471.060049852997,502.027939148989,NA,NA,NA,NA,NA,NA,NA,NA,35,"The cards signed by the participant was shuffled and then it was turned out to be one single card inside the cover",1,1,NA,"",27,"The volunteer signs a card which the magician subsequently pulls from a Ziploc bag.",306035,5,4892,1,1,1,1
"1","sub-control001","cont",1,1,1,0,NA,0.00833179001692461,4,4,"H37","12_H37_combined_small.mp4",9,528.005779491999,585.991980053994,57.9862005619943,NA,529.991852553998,564.810179649998,34.8183270959998,1.18133151800407,565.991511168002,3.99986073499895,569.991371903001,5.99986270999943,6,"0 to 10",570.879808297992,570.912643962001,0.888436394991004,0,575.991234613,0.0500329839996994,0.05,576.041267597,5.94664165200084,5.95,7,578.549633748989,578.617733196996,2.50836615198932,1,6,581.987909249001,4.00407080499281,0,536.023664383989,537.190543110002,544.02762846899,549.027679977997,554.027195931994,560.224799743999,NA,NA,NA,NA,NA,9,"NO recall",0,0,NA,"",10,"The magician detaches his thumb, but when he turns his hands, the thumb is reattached.",261677,6,3575,0,0,0,0
"1","sub-control001","cont",1,1,1,0,NA,0.00833179001692461,6,6,"S15","21_S15_combined_small.mp4",10,586.006177542993,651.988599965,65.9824224220065,NA,587.991147289998,626.004488824998,38.0133415349992,1.98289327700297,627.987382102001,6.0029983479908,633.990380449992,6.00104694800393,6,"21 to 30",635.44444054499,635.473434228988,1.45406009499857,0,639.991427397996,0.0489935060031712,0.05,640.040420903999,5.95077643399418,5.95,5,641.641759738995,641.680139111995,1.60133883499657,5,0,645.991197337993,5.99740262700652,0,594.026351266002,595.098638437994,622.101455519994,NA,NA,NA,NA,NA,NA,NA,NA,33,"the coin was inserted into the wine glass from the side and it remained hanging in the centre of the wine glass inside",1,1,NA,"",34,"The magician places a ring on the stem of the glass without breaking it.",288930,5,3611,1,1,1,1
