BIDS	gcor
sub-control001	 0.0134123
sub-control002	 0.0133807
sub-control003	 0.00784266
sub-control007	 0.0166621
sub-control009	 0.0284268
sub-control011	 0.0106954
sub-control013	 0.0131363
sub-control015	 0.0151724
sub-control017	 0.00596
sub-control019	 0.00645578
sub-control021	 0.00951947
sub-control023	 0.00789234
sub-control025	 0.0120584
sub-control027	 0.0118466
sub-control029	 0.00812685
sub-control031	 0.0127547
sub-control033	 0.0179529
sub-control035	 0.00616626
sub-control037	 0.0139874
sub-control039	 0.0079001
sub-control041	 0.00583329
sub-control043	 0.0165385
sub-control045	 0.0158989
sub-control047	 0.0103549
sub-control049	 0.00908042
sub-experimental004	 0.0163433
sub-experimental005	 0.0153044
sub-experimental006	 0.00743663
sub-experimental008	 0.0130609
sub-experimental010	 0.0153917
sub-experimental012	 0.00747649
sub-experimental014	 0.0127585
sub-experimental016	 0.00875524
sub-experimental018	 0.0183501
sub-experimental020	 0.0123907
sub-experimental022	 0.0263949
sub-experimental024	 0.00845054
sub-experimental026	 0.00525702
sub-experimental028	 0.0184496
sub-experimental030	 0.0186021
sub-experimental032	 0.0276866
sub-experimental034	 0.011763
sub-experimental036	 0.0112553
sub-experimental038	 0.015856
sub-experimental040	 0.0136574
sub-experimental042	 0.00740976
sub-experimental044	 0.00561028
sub-experimental046	 0.0128732
sub-experimental048	 0.00746427
sub-experimental050	 0.00745176
