BIDS	gcor
sub-control001	 0.0153232
sub-control002	 0.0177545
sub-control003	 0.0124264
sub-control007	 0.010411
sub-control009	 0.0225595
sub-control011	 0.0201505
sub-control013	 0.0277529
sub-control015	 0.0317365
sub-control017	 0.0113828
sub-control019	 0.0127414
sub-control021	 0.0168952
sub-control023	 0.00710364
sub-control025	 0.0267088
sub-control027	 0.0196797
sub-control029	 0.0101603
sub-control031	 0.0197942
sub-control033	 0.0502588
sub-control035	 0.00703144
sub-control037	 0.022431
sub-control039	 0.0167286
sub-control041	 0.00775683
sub-control043	 0.0177014
sub-control045	 0.02644
sub-control047	 0.0102725
sub-control049	 0.0115727
sub-experimental004	 0.00978195
sub-experimental005	 0.0215653
sub-experimental006	 0.0116808
sub-experimental008	 0.0175935
sub-experimental010	 0.0127081
sub-experimental012	 0.0145034
sub-experimental014	 0.0239
sub-experimental016	 0.0174523
sub-experimental018	 0.0172539
sub-experimental020	 0.0254299
sub-experimental022	 0.0337255
sub-experimental024	 0.0101104
sub-experimental026	 0.0177428
sub-experimental028	 0.0160564
sub-experimental030	 0.0275632
sub-experimental032	 0.0282022
sub-experimental034	 0.0144917
sub-experimental036	 0.0174712
sub-experimental038	 0.0130842
sub-experimental040	 0.0126951
sub-experimental042	 0.00930723
sub-experimental044	 0.0127113
sub-experimental046	 0.0213692
sub-experimental048	 0.0107511
sub-experimental050	 0.0139891
