BIDS	gcor
sub-control001	 0.0344794
sub-control002	 0.0417066
sub-control003	 0.0310333
sub-control007	 0.0606332
sub-control009	 0.0825118
sub-control011	 0.0345833
sub-control013	 0.0374983
sub-control015	 0.0520703
sub-control017	 0.0198646
sub-control019	 0.0230152
sub-control021	 0.036688
sub-control023	 0.0229408
sub-control025	 0.0448683
sub-control027	 0.0418532
sub-control029	 0.0251004
sub-control031	 0.047072
sub-control033	 0.0540977
sub-control035	 0.0191705
sub-control037	 0.042999
sub-control039	 0.0309162
sub-control041	 0.0178296
sub-control043	 0.0508212
sub-control045	 0.0565067
sub-control047	 0.035287
sub-control049	 0.0287623
sub-experimental004	 0.0492468
sub-experimental005	 0.0471042
sub-experimental006	 0.025017
sub-experimental008	 0.0439207
sub-experimental010	 0.0499175
sub-experimental012	 0.0223376
sub-experimental014	 0.0491797
sub-experimental016	 0.034901
sub-experimental018	 0.0685
sub-experimental020	 0.044162
sub-experimental022	 0.0767334
sub-experimental024	 0.0262597
sub-experimental026	 0.0167203
sub-experimental028	 0.0547964
sub-experimental030	 0.0690896
sub-experimental032	 0.0975304
sub-experimental034	 0.0345311
sub-experimental036	 0.0336045
sub-experimental038	 0.0495793
sub-experimental040	 0.0396011
sub-experimental042	 0.026722
sub-experimental044	 0.0179523
sub-experimental046	 0.0448685
sub-experimental048	 0.0251348
sub-experimental050	 0.0277862
